true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,18540,0,14642.0,328.0,1528.0,713.0,687.0,372.0,269.0,0.0,1.0,14642.0,0.7897518878101403
2,5241,0,157.0,3809.0,668.0,95.0,96.0,182.0,234.0,0.0,0.0,3809.0,0.7267697004388476
3,3802,0,10.0,71.0,2684.0,169.0,164.0,128.0,576.0,0.0,0.0,2684.0,0.7059442398737507
4,972,0,13.0,6.0,118.0,577.0,97.0,95.0,32.0,1.0,33.0,577.0,0.5936213991769548
5,700,0,9.0,1.0,27.0,49.0,516.0,90.0,6.0,0.0,2.0,516.0,0.7371428571428571
6,613,0,1.0,6.0,57.0,79.0,25.0,360.0,9.0,0.0,76.0,360.0,0.5872756933115824
7,549,0,3.0,18.0,167.0,26.0,26.0,17.0,292.0,0.0,0.0,292.0,0.5318761384335154
8,257,0,1.0,0.0,0.0,14.0,29.0,12.0,0.0,194.0,7.0,194.0,0.754863813229572
9,203,0,0.0,0.0,2.0,28.0,4.0,41.0,2.0,1.0,125.0,125.0,0.6157635467980296
